# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       18.422      190.473
       0.014      216.500       21.117      196.184
       0.024      101.800       21.812      196.766
       0.034      102.100       22.836      201.617
       0.043      104.500       24.156      202.934
       0.053      104.400       24.293      205.309
       0.064       93.400       24.949      210.777
       0.075       84.300       26.645      211.688
       0.085      100.600       26.645      211.938
       0.094      112.600       26.645      211.938
       0.102      138.300       26.645      211.938
       0.109        0.000       27.340      212.402
       0.117      129.400       28.016      213.855
       0.124      134.900       28.305      214.141
       0.132      133.000       28.680      214.520
       0.139        0.000       28.934      214.902
       0.147      132.600       29.898      216.012
       0.154      128.200       30.156      216.391
       0.162        0.000       30.156      216.391
       0.170        0.000       30.156      216.535
       0.177        0.000       30.156      216.535
       0.185      122.900       30.414      216.785
       0.193        0.000       30.414      216.785
       0.202        0.000       30.414      216.785
       0.210        0.000       30.414      216.785
       0.217        0.000       30.641      219.223
       0.227        0.000       30.918      221.398
       0.237        0.000       31.109      223.445
       0.244        0.000       31.195      225.945
       0.252        0.000       31.195      225.945
       0.259        0.000       31.527      228.383
       0.266        0.000       31.527      228.383
       0.275        0.000       31.859      230.441
       0.282        0.000       31.926      232.879
       0.290      124.700       31.930      232.879
       0.298        0.000       32.449      232.879
       0.305        0.000       32.449      232.879
       0.312        0.000       32.453      235.113
       0.319      143.500       32.914      237.746
       0.326      137.200       33.207      240.227
       0.334        0.000       33.211      240.227
       0.341        0.000       33.211      240.227
       0.349        0.000       33.613      242.363
       0.357        0.000       33.777      244.895
       0.365        0.000       33.777      244.895
       0.375        0.000       34.574      249.430
       0.383      124.800       34.867      252.035
       0.391        0.000       34.867      252.035
       0.399        0.000       35.207      254.113
       0.406        0.000       35.207      254.113
       0.414        0.000       35.562      256.953
       0.422        0.000       35.562      256.953
       0.429        0.000       35.562      256.953
       0.437        0.000       35.562      256.953
       0.444        0.000       35.801      259.277
       0.451        0.000       35.801      259.277
       0.459        0.000       35.801      259.277
       0.467        0.000       35.801      259.277
       0.475        0.000       35.801      259.277
       0.483      126.500       35.801      259.277
       0.490        0.000       35.801      259.277
       0.498        0.000       35.801      259.277
       0.506        0.000       35.801      259.277
       0.513        0.000       35.801      259.277
       0.521        0.000       35.801      259.277
       0.528        0.000       35.801      259.277
       0.535        0.000       35.801      259.277
       0.541        0.000       35.801      259.277
       0.548        0.000       35.801      259.277
       0.554        0.000       35.801      259.277
       0.561        0.000       35.801      259.277
       0.568        0.000       35.801      259.277
       0.578        0.000       35.801      259.277
       0.588        0.000       35.801      259.277
       0.598        0.000       35.801      259.277
       0.606        0.000       35.801      259.277
       0.617        0.000       35.801      259.277
       0.627        0.000       35.801      259.277
       0.638        0.000       36.254      259.527
       0.648        0.000       36.254      259.527
       0.658        0.000       36.254      259.527
       0.668        0.000       36.254      259.660
       0.677        0.000       36.254      259.660
       0.686        0.000       36.398      263.375
       0.696        0.000       36.402      263.375
       0.706        0.000       36.402      263.375
       0.715        0.000       37.070      263.375
       0.726        0.000       37.160      267.805
       0.734        0.000       37.164      267.805
       0.743        0.000       37.164      267.805
       0.753      100.300       37.836      267.805
       0.761        0.000       37.836      267.805
       0.770        0.000       37.836      267.805
       0.781        0.000       38.105      268.184
       0.791        0.000       38.105      268.184
       0.799        0.000       38.105      268.184
       0.808        0.000       38.105      268.184
       0.815        0.000       38.246      270.242
       0.823        0.000       38.246      270.242
       0.831        0.000       38.246      270.242
       0.839        0.000       38.246      270.242
       0.848      114.600       38.246      270.242
       0.856        0.000       38.352      272.422
       0.865        0.000       38.352      272.422
       0.872        0.000       38.352      272.422
       0.880        0.000       38.688      272.809
       0.888        0.000       38.762      275.027
       0.896        0.000       38.762      275.027
       0.904      127.200       39.125      275.027
       0.911      129.300       39.383      275.422
       0.919        0.000       39.383      275.422
       0.926        0.000       39.641      275.672
       0.933        0.000       39.641      275.672
       0.941        0.000       39.641      275.672
       0.952       93.200       39.801      275.672
       0.962        0.000       39.801      275.922
       0.971        0.000       39.801      275.922
       0.982        0.000       39.801      275.922
       0.992        0.000       39.801      275.922
       1.002        0.000       39.801      275.922
       1.010        0.000       39.801      275.922
       1.019        0.000       39.801      276.070
       1.028        0.000       39.801      276.070
       1.036        0.000       39.801      276.070
       1.045        0.000       39.801      276.070
       1.055        0.000       39.801      276.070
       1.065        0.000       39.801      276.070
       1.075      100.500       40.113      276.070
       1.085        0.000       40.113      276.320
       1.095        0.000       40.113      276.320
       1.105        0.000       40.113      276.492
       1.114        0.000       40.629      276.492
       1.124      100.200       40.719      279.441
       1.134        0.000       40.723      279.441
       1.144        0.000       41.074      283.984
       1.154        0.000       41.078      283.984
       1.164        0.000       41.078      283.984
       1.174        0.000       41.078      283.984
       1.184        0.000       41.816      284.234
       1.193      105.500       42.074      284.367
       1.202        0.000       42.074      284.367
       1.211      106.500       42.074      284.617
       1.221        0.000       42.074      284.617
       1.229        0.000       42.332      284.754
       1.236        0.000       42.332      284.754
       1.246        0.000       42.500      287.648
       1.254        0.000       42.504      287.898
       1.261        0.000       42.895      287.898
       1.269        0.000       42.895      287.898
       1.279        0.000       42.938      290.652
       1.287      115.100       42.938      290.910
       1.295        0.000       43.676      291.613
       1.302        0.000       44.098      291.539
       1.309        0.000       44.168      291.602
       1.317        0.000       44.168      291.602
       1.324        0.000       44.168      291.602
       1.331        0.000       44.168      291.602
       1.338      137.500       44.461      292.012
       1.346        0.000       44.461      292.012
       1.353        0.000       44.461      292.012
       1.360        0.000       44.719      292.262
